Assembly Constituency,Total Deletions
Gopalganj,66011
Kuchaikote,59913
Motihari,54400
Digha,53442
Purnia,49842
Kishanganj,49193
Barauli,47712
Amour,46925
Rajnagar (SC),46623
Hathua,45925
Baikunthpur,45605
Bhorey (SC),45065
Sultanganj,44397
Dhamdaha,42917
Kahalgaon,39863
Begusarai,38922
Phulparas,38234
Hajipur,38188
Belsand,38188
Madhubani,37743
Laukaha,37523
Hisua,37310
Nathnagar,37308
Amnour,37284
Bankipur,36963
Masaurhi (SC),36862
Banmankhi (SC),36622
Bahadurganj,36506
Pirpainti (SC),36457
Mahishi,36050
Harlakhi,35822
Kasba,35633
Morwa,35390
Rupauli,35327
Khajauli,35263
Sonbarsha (SC),35045
"Pipra, Purvi Champaran",35045
Raghopur,34989
Phulwari (SC),34969
Raniganj (SC),34355
Babubarhi,34281
Warisnagar,34168
Simri Bakhtiarpur,34125
Darauli (SC),33382
Lalganj,33132
Tikari,32904
Alamnagar,32638
Kalyanpur (SC),32257
Taraiya,32156
Benipatti,31895
Shahpur,31318
Narpatganj,31163
Tarari,31146
Supaul,31142
Sursand,30912
Aurai,30906
Goriakothi,30850
Kochadhaman,30671
Patna Sahib,30615
Chhatapur,30602
Rosera (SC),30555
Hasanpur,30381
Kadwa,30274
Bhagalpur,30115
Maner,30095
Raghunathpur,30041
Riga,29988
Muzaffarpur,29984
Aurangabad,29962
Bajpatti,29923
Parihar,29803
Obra,29481
Bahadurpur,29388
Balrampur,29319
Matihani,29267
Thakurganj,29234
Bisfi,29174
Manjhi,29129
Paroo,29055
Daraundha,28929
Valmiki Nagar,28908
Chiraia,28617
Sitamarhi,28580
Govindganj,28548
Ekma,28542
Bathnaha (SC),28487
Marhaura,28450
Jagdishpur,28444
Maharajganj,28323
Arrah,28224
Rafiganj,28201
Gaighat,28154
Sheohar,28145
Mahnar,28133
Baniapur,28093
Kanti,28057
Sahebganj,28038
Runnisaidpur,27975
Ramnagar (SC),27893
Samastipur,27779
Barharia,27622
Imamganj (SC),27594
Kumhrar,27556
Manihari (ST),27509
Belaganj,27322
Danapur,27200
Wazirganj,27161
Jamui,26857
Sasaram,26855
Jale,26639
Baisi,26545
Belhar,26508
Patepur (SC),26377
Barhara,26340
Saharsa,26318
Darbhanga Rural,26251
Lauriya,26227
Barachatti (SC),26117
Vaishali,26043
Mohiuddinnagar,26027
Pranpur,25907
Tarapur,25889
Chapra,25866
Forbesganj,25831
Kargahar,25817
Jhanjharpur,25746
Korha (SC),25616
Buxar,25556
Chenari (SC),25479
Lakhisarai,25297
Warsaliganj,25293
Bihpur,25270
Kesaria,25163
Gobindpur,24970
Karakat,24962
Rajgir (SC),24852
Banka,24821
Sandesh,24773
Brahampur,24508
Amarpur,24445
Jamalpur,24431
Nabinagar,24430
Araria,24328
Ujiarpur,24321
Parsa,24207
Bikram,24001
Kurhani,23998
Goh,23962
Kutumba (SC),23878
Sikandra (SC),23860
Baruraj,23860
Parbatta,23858
Hilsa,23770
Suryagarha,23502
Siwan,23309
Bagaha,23239
Teghra,23213
Madhepura,23160
Bochaha (SC),23132
Katihar,23092
Gurua,23078
Gaya Town,23065
Keoti,22991
Madhuban,22990
Narkatia,22893
Munger,22708
Triveniganj (SC),22650
Islampur,22498
Barari,22447
Jokihat,22434
Kalyanpur,22393
Dhauraiya (SC),22236
Khagaria,22215
Paliganj,22201
Chakai,22131
Nirmali,21915
Bibhutipur,21894
"Pipra, Supaul",21803
Dumraon,21560
Raxaul,21488
Atri,21486
Garkha (SC),21454
Bihariganj,21416
Sahebpur Kamal,21352
Gopalpur,21342
Biharsharif,21085
Sarairanjan,21067
Jehanabad,20866
Singheshwar (SC),20802
Bachhwara,20774
Chainpur,20526
Rajauli (SC),20289
Kusheshwar Asthan (SC),20156
Minapur,20084
Agiaon (SC),20049
Sherghati,20038
Sugauli,19981
Sikti,19770
Raja Pakar (SC),19579
Fatuha,19291
Katoria (ST),19284
Mahua,19279
Ziradei,19058
Sikta,19050
Gaura Bauram,19046
Jhajha,18978
Mokama,18668
Mohania (SC),18666
Nawada,18497
Ghosi,18199
Benipur,18199
Bakhri (SC),18046
Ramgarh,17989
Nokha,17918
Sonepur,17811
Narkatiaganj,17726
Nautan,17673
Dhaka,17630
Dinara,17617
Beldaur,17546
Sakra (SC),17447
Bakhtiarpur,17396
Dehri,17342
Harsidhi (SC),17335
Harnaut,17046
Bettiah,16975
Bodh Gaya (SC),16777
Bhabua,16730
Cheria Bariarpur,16092
Barh,16037
Rajpur (SC),15966
Alauli (SC),15892
Arwal,15099
Kurtha,15066
Asthawan,14825
Alinagar,14579
Nalanda,14333
Makhdumpur (SC),13974
Chanpatia,13583
Hayaghat,13540
Barbigha,13240
Darbhanga,12428
Sheikhpura,7375
