AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,margin
1,VALMIKI NAGAR,,,0,,,0,0
2,RAMNAGAR,,,0,,,0,0
5,LAURIYA,,,0,,,0,0
6,NAUTAN,,,0,,,0,0
7,CHANPATIA,,,0,,,0,0
9,SIKTA,,,0,,,0,0
10,RAXAUL,,,0,,,0,0
11,SUGAULI,,,0,,,0,0
12,NARKATIA,,,0,,,0,0
13,HARSIDHI,,,0,,,0,0
14,GOVINDGANJ,,,0,,,0,0
15,KESARIA,,,0,,,0,0
16,KALYANPUR,,,0,,,0,0
17,PIPRA,,,0,,,0,0
18,MADHUBAN,,,0,,,0,0
19,MOTIHARI,,,0,,,0,0
20,CHIRAIA,,,0,,,0,0
22,SHEOHAR,,,0,,,0,0
23,RIGA,,,0,,,0,0
24,BATHNAHA,,,0,,,0,0
25,PARIHAR,,,0,,,0,0
26,SURSAND,,,0,,,0,0
27,BAJPATTI,,,0,,,0,0
28,SITAMARHI,,,0,,,0,0
29,RUNNISAIDPUR,,,0,,,0,0
30,BELSAND,,,0,,,0,0
31,HARLAKHI,,,0,,,0,0
32,BENIPATTI,,,0,,,0,0
34,BABUBARHI,,,0,,,0,0
35,BISFI,,,0,,,0,0
36,MADHUBANI,,,0,,,0,0
38,JHANJHARPUR,,,0,,,0,0
39,PHULPARAS,,,0,,,0,0
40,LAUKAHA,,,0,,,0,0
41,NIRMALI,,,0,,,0,0
42,PIPRA,,,0,,,0,0
43,SUPAUL,,,0,,,0,0
44,TRIVENIGANJ,,,0,,,0,0
45,CHHATAPUR,,,0,,,0,0
46,NARPATGANJ,,,0,,,0,0
47,RANIGANJ,,,0,,,0,0
48,FORBESGANJ,,,0,,,0,0
49,ARARIA,,,0,,,0,0
50,JOKIHAT,,,0,,,0,0
51,SIKTI,,,0,,,0,0
52,BAHADURGANJ,,,0,,,0,0
53,THAKURGANJ,,,0,,,0,0
54,KISHANGANJ,,,0,,,0,0
55,KOCHADHAMAN,,,0,,,0,0
56,AMOUR,,,0,,,0,0
57,BAISI,,,0,,,0,0
58,KASBA,,,0,,,0,0
59,BANMANKHI,,,0,,,0,0
60,RUPAULI,,,0,,,0,0
61,DHAMDAHA,,,0,,,0,0
63,KATIHAR,,,0,,,0,0
64,KADWA,,,0,,,0,0
65,BALRAMPUR,,,0,,,0,0
66,PRANPUR,,,0,,,0,0
67,MANIHARI,,,0,,,0,0
68,BARARI,,,0,,,0,0
69,KORHA,,,0,,,0,0
70,ALAMNAGAR,,,0,,,0,0
71,BIHARIGANJ,,,0,,,0,0
72,SINGHESHWAR,,,0,,,0,0
73,MADHEPURA,,,0,,,0,0
74,SONBARSHA,,,0,,,0,0
75,SAHARSA,,,0,,,0,0
76,SIMRI BAKHTIARPUR,,,0,,,0,0
77,MAHISHI,,,0,,,0,0
78,KUSHESHWAR ASTHAN,,,0,,,0,0
79,GAURA BAURAM,,,0,,,0,0
80,BENIPUR,,,0,,,0,0
81,ALINAGAR,,,0,,,0,0
82,DARBHANGA RURAL,,,0,,,0,0
83,DARBHANGA,,,0,,,0,0
84,HAYAGHAT,,,0,,,0,0
85,BAHADURPUR,,,0,,,0,0
86,KEOTI,,,0,,,0,0
87,JALE,,,0,,,0,0
88,GAIGHAT,,,0,,,0,0
91,BOCHAHAN,,,0,,,0,0
92,SAKRA,,,0,,,0,0
93,KURHANI,,,0,,,0,0
94,MUZAFFARPUR,,,0,,,0,0
95,KANTI,,,0,,,0,0
97,PAROO,,,0,,,0,0
99,BAIKUNTHPUR,,,0,,,0,0
100,BARAULI,,,0,,,0,0
101,GOPALGANJ,,,0,,,0,0
103,BHOREY,,,0,,,0,0
104,HATHUA,,,0,,,0,0
105,SIWAN,,,0,,,0,0
106,ZIRADEI,,,0,,,0,0
108,RAGHUNATHPUR,,,0,,,0,0
109,DARAUNDA,,,0,,,0,0
110,BARHARIA,,,0,,,0,0
111,GORIAKOTHI,,,0,,,0,0
112,MAHARAJGANJ,,,0,,,0,0
113,EKMA,,,0,,,0,0
114,MANJHI,,,0,,,0,0
116,TARAIYA,,,0,,,0,0
117,MARHAURA,,,0,,,0,0
118,CHAPRA,,,0,,,0,0
119,GARKHA,,,0,,,0,0
120,AMNOUR,,,0,,,0,0
121,PARSA,,,0,,,0,0
122,SONEPUR,,,0,,,0,0
123,HAJIPUR,,,0,,,0,0
124,LALGANJ,,,0,,,0,0
125,VAISHALI,,,0,,,0,0
126,MAHUA,,,0,,,0,0
127,RAJA PAKAR,,,0,,,0,0
128,RAGHOPUR,,,0,,,0,0
129,MAHNAR,,,0,,,0,0
130,PATEPUR,,,0,,,0,0
131,KALYANPUR,,,0,,,0,0
132,WARISNAGAR,,,0,,,0,0
133,SAMASTIPUR,,,0,,,0,0
134,UJIARPUR,,,0,,,0,0
135,MORWA,,,0,,,0,0
136,SARAIRANJAN,,,0,,,0,0
137,MOHIUDDINNAGAR,,,0,,,0,0
138,BIBHUTIPUR,,,0,,,0,0
139,ROSERA,,,0,,,0,0
140,HASANPUR,,,0,,,0,0
141,CHERIA - BARIARPUR,,,0,,,0,0
142,BACHHWARA,,,0,,,0,0
143,TEGHRA,,,0,,,0,0
144,MATIHANI,,,0,,,0,0
145,SAHEBPUR KAMAL,,,0,,,0,0
146,BEGUSARAI,,,0,,,0,0
147,BAKHRI,,,0,,,0,0
148,ALAULI,,,0,,,0,0
149,KHAGARIA,,,0,,,0,0
150,BELDAUR,,,0,,,0,0
151,PARBATTA,,,0,,,0,0
152,BIHPUR,,,0,,,0,0
153,GOPALPUR,,,0,,,0,0
154,PIRPAINTI,,,0,,,0,0
155,KAHALGAON,,,0,,,0,0
156,BHAGALPUR,,,0,,,0,0
157,SULTANGANJ,,,0,,,0,0
158,NATHNAGAR,,,0,,,0,0
159,AMARPUR,,,0,,,0,0
160,DHORAIYA,,,0,,,0,0
161,BANKA,,,0,,,0,0
162,KATORIA,,,0,,,0,0
163,BELHAR,,,0,,,0,0
164,TARAPUR,,,0,,,0,0
165,MUNGER,,,0,,,0,0
166,JAMALPUR,,,0,,,0,0
167,SURYAGARHA,,,0,,,0,0
168,LAKHISARAI,,,0,,,0,0
169,SHEIKHPURA,,,0,,,0,0
170,BARBIGHA,,,0,,,0,0
171,ASTHAWAN,,,0,,,0,0
172,BIHARSHARIF,,,0,,,0,0
174,ISLAMPUR,,,0,,,0,0
175,HILSA,,,0,,,0,0
176,NALANDA,,,0,,,0,0
177,HARNAUT,,,0,,,0,0
179,BARH,,,0,,,0,0
184,PATNA SAHIB,,,0,,,0,0
185,FATUHA,,,0,,,0,0
187,MANER,,,0,,,0,0
190,PALIGANJ,,,0,,,0,0
192,SANDESH,,,0,,,0,0
193,BARHARA,,,0,,,0,0
194,ARRAH,,,0,,,0,0
195,AGIAON,,,0,,,0,0
196,TARARI,,,0,,,0,0
197,JAGDISHPUR,,,0,,,0,0
198,SHAHPUR,,,0,,,0,0
199,BRAHAMPUR,,,0,,,0,0
200,BUXAR,,,0,,,0,0
201,DUMRAON,,,0,,,0,0
202,RAJPUR,,,0,,,0,0
203,RAMGARH,,,0,,,0,0
204,MOHANIA,,,0,,,0,0
205,BHABUA,,,0,,,0,0
206,CHAINPUR,,,0,,,0,0
207,CHENARI,,,0,,,0,0
208,SASARAM,,,0,,,0,0
209,KARGAHAR,,,0,,,0,0
210,DINARA,,,0,,,0,0
211,NOKHA,,,0,,,0,0
212,DEHRI,,,0,,,0,0
213,KARAKAT,,,0,,,0,0
214,ARWAL,,,0,,,0,0
215,KURTHA,,,0,,,0,0
216,JEHANABAD,,,0,,,0,0
217,GHOSI,,,0,,,0,0
218,MAKHDUMPUR,,,0,,,0,0
219,GOH,,,0,,,0,0
220,OBRA,,,0,,,0,0
221,NABINAGAR,,,0,,,0,0
222,KUTUMBA,,,0,,,0,0
223,AURANGABAD,,,0,,,0,0
224,RAFIGANJ,,,0,,,0,0
225,GURUA,,,0,,,0,0
226,SHERGHATI,,,0,,,0,0
227,IMAMGANJ,,,0,,,0,0
228,BARACHATTI,,,0,,,0,0
230,GAYA TOWN,,,0,,,0,0
231,TIKARI,,,0,,,0,0
232,BELAGANJ,,,0,,,0,0
233,ATRI,,,0,,,0,0
234,WAZIRGANJ,,,0,,,0,0
235,RAJAULI,,,0,,,0,0
236,HISUA,,,0,,,0,0
237,NAWADA,,,0,,,0,0
238,GOBINDPUR,,,0,,,0,0
239,WARSALIGANJ,,,0,,,0,0
240,SIKANDRA,,,0,,,0,0
241,JAMUI,,,0,,,0,0
242,JHAJHA,,,0,,,0,0
243,CHAKAI,,,0,,,0,0
