AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
1,Gossaigaon,SABHARAM BASUMATARY,BPF,28737,PHEDRICSON HANSDAK,OTH,14795,ANINDA BASUMATARY,OTH,13779,13942,70358,70.76
2,Dotma (ST),RABIRAM NARZARY,BPF,42531,RAJU KUMAR NARZARY,OTH,21095,BIRKHANG BORO,INC,13302,21436,82196,88.08
3,Kokrajhar (ST),SEWLI MOHILARY,BPF,49559,LAWRENCE ISLARY,OTH,29130,MANIK CHANDRA BRAHMA,INC,5701,20429,88727,73.35
4,Baokhungri,RUPAM CHANDRA ROY,BPF,36261,SAPALI MARAK,INC,17111,PRATIBHA BRAHMA,OTH,12271,19150,81310,54.93
5,ParParbatjhora,MD ASHRAFUL ISLAM SHEIKH,INC,50275,REZAUL KARIM,BPF,38459,AYUB HUSSAIN MONDAL,OTH,4371,11816,98487,60.33
6,Golakganj,ASHWINI RAY SARKAR,BJP,41942,KARTIK CHANDRA RAY,INC,39988,JAMSHER TALUKDAR,AIUDF,1091,1954,83607,43.26
7,Gauripur,ABDUS SOBAHAN ALI SARKAR,INC,59569,NIZANUR RAHMAN,AIUDF,23950,MEHETABUL HAQUE,AGP,18759,35619,108803,36.46
8,Dhubri,BABY BEGUM,INC,53120,UTTAM PRASAD,BJP,26434,NAZRUL HOQUE,AIUDF,22936,26686,103901,47.26
9,Birsing-Jarua,REZA AMIN,OTH,50803,WAZED ALI CHOUDHURY,INC,47570,ALI AKBAR MIAH,AIUDF,9881,3233,114641,41.9
10,Bilasipara,AMRIT BADSHA,INC,41983,JIBESH ROY,AGP,40860,SABANA AKTAR,AIUDF,1881,1123,86581,48.77
11,Mankachar,Mohibur Rohman (Bappy),INC,94428,ZABED ISLAM,AGP,50346,ABDUL SALAM SHAH,AIUDF,8174,44082,154843,52.05
12,Jaleswar,AFTAB UDDIN MOLLAH,INC,92936,SHEIKH SHAH ALAM,AIUDF,29266,ABU SHA SHADI HOSSAIN,AGP,5266,63670,130946,55.98
13,Goalpara West (ST),PABITRA RABHA,BJP,61476,MARKLINE MARAK,INC,38444,DHANJEEP PRASAD RABHA,OTH,672,23032,101990,69.46
14,Goalpara East,ABUL KALAM RASHEED ALAM,INC,31588,ABDUR RAHIM ZIBRAN,AGP,22728,ABDUR RASHID MANDAL,RD,7794,8860,69291,31.97
15,Dudhnoi (ST),TANKESWAR RABHA,BJP,57451,KISHORE KUMAR BRAHMA,INC,29963,NOTA,OTH,834,27488,89732,57.16
16,Abhayapuri,BHUPEN ROY,BJP,93150,PRADIP SARKAR,INC,40043,NOTA,OTH,1712,53107,136957,82.52
17,Srijangram,MD. NURUL ISLAM,INC,78019,REJAUL KARIM SARKAR,AIUDF,54239,SHAHIDUL HOQUE,AGP,12390,23780,146504,65.46
18,Bongaigaon,DIPTIMAYEE CHOUDHURY,AGP,53169,GIRISH BARUAH,INC,26898,CHAKRADHAR DAS,OTH,26322,26271,110366,71.0
19,Sidli Chirang (ST),PANIRAM BRAHMA,BPF,92772,RANJIT BASUMATARY,OTH,57889,MATILAL NARZARY,INC,16938,34883,173195,92.42
20,Bijni,ARUP KUMAR DEY,BJP,52804,KAMAL SING NARZARY,OTH,28112,KHALILUR RAHMAN,OTH,7607,24692,108563,66.54
