AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
1,Ma njeshwar,A K M ASHRAF,IUML,45700,K SURENDRAN,BJP,27013,K R JAYANANDA,CPI(M),7568,18687,81134,43.51
2,Kasaragod,KALLATRA MAHIN,IUML,49017,ASHWINI M L,BJP,34815,SHANAVAS PADHOOR,OTH,22608,14202,107995,64.31
3,Udma,NEELAKANDAN,INC,41099,C H KUNHAMBU,CPI(M),27235,MANULAL M,BJP,13668,13864,82448,46.21
4,Kanhangad,ADV. GOVINDAN PALLIKAPPIL,CPI,57818,SHAIJI OTTAPALLI,KC,45351,M BALRAJ,BJP,21473,12467,127642,73.78
5,Trikaripur,SANDEEP VARIER,INC,36103,DR. V P P MUSTAFA,CPI(M),33833,RAVI KULANGARA,OTH,3816,2270,74434,44.49
6,Payyannur,V. KUNHIKRISHNAN,OTH,60798,T. I. MADHUSOODANAN,CPI(M),56993,A. P. GANGADHARAN,BJP,6392,3805,125607,82.61
7,Kalliasseri,M.VIJIN,CPI(M),59740,ADV. RAJEEVAN KAPPACHERI,INC,44195,SANIL.A.V,BJP,9330,15545,114442,72.94
8,Taliparamba,T K GOVINDAN MASTER S/O KUNHIKKANNAN NAMBIAR,OTH,28221,P K SHYAMALA TEACHER,CPI(M),21015,N HARIDAS,BJP,4060,7206,54917,29.18
9,Irikkur,ADV. SAJEEV JOSEPH,INC,39233,ADV. MATHEW KUNNAPPALLY,KC(M),22078,SREENATH PADMANABHAN,OTH,4754,17155,67137,45.32
10,Azhikode,K. V. SUMESH,CPI(M),36765,ADV. KAREEM CHELERI,IUML,33716,K. K. VINODKUMAR,BJP,7294,3049,78470,53.64
11,Kannur,ADV.T.O. MOHANAN,INC,42542,RAMACHANDRAN KADANNAPPALLI,OTH,32695,C. RAGHUNATH,BJP,10145,9847,86332,62.5
12,Dharmadam,PINARAYI VIJAYAN,CPI(M),44199,ADV. V.P ABDUL RASHEED,INC,40540,K. RANJITH,BJP,8328,3659,93646,55.82
13,Thalassery,KARAYI RAJAN,CPI(M),38860,SAJU K P,INC,26786,O NIDHEESH,BJP,15582,12074,82882,58.43
14,Kuthuparamba,P K PRAVEEN,RJD,40152,JAYANTHI RAJAN,IUML,31814,ADV. SHIJILAL,BJP,11799,8338,85156,52.75
15,Mattannur,V K SANOJ,CPI(M),42039,CHANDRAN THILLANKERI,INC,40414,BIJU ELAKKUZHI,BJP,9200,1625,93649,56.45
16,Peravoor,ADV. SUNNY JOSEPH,INC,21858,K K SHAILAJA TEACHER,CPI(M),17825,PAILY VATHIYATTU,OTH,2007,4033,42090,29.18
