AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
1,Gummidipoondi,S.VIJAYAKUMAR,TVK,11017,SUDHAKAR.V,ADMK,9106,T.J.GOVINDARAJAN,DMK,6984,1911,28380,12.29
2,Ponneri (SC),DR.RAVI.M.S,TVK,22256,BALARAMAN.P,ADMK,12662,DURAI CHANDRASEKAR,INC,12064,9594,49079,21.75
3,Tiruttani,G.HARI,ADMK,7098,M.SATHYA KUMAR,TVK,6927,D.KRISHNAMURTHY,OTH,4194,171,19041,8.08
4,Thiruvallur,DR. T. ARUNKUMAR,TVK,12163,V.G. RAAJENDRAN,DMK,10922,BE VEE RAMANAH,ADMK,10082,1241,34529,15.37
5,Poonamallee (SC),PRAKASAM.R,TVK,26179,KRISHNASWAMY.A,DMK,14487,ELUMALAI.T.A,OTH,8141,11692,50995,16.61
6,Avadi,R.RAMESH KUMAR,TVK,26904,S.M.NASAR,DMK,16403,RAJASIMHA MAHENDRA,BJP,5967,10501,52228,15.21
7,Maduravoyal,RHEVANTH CHARAN,TVK,6905,GANAPATHY. K,DMK,3297,P. BENJAMIN,ADMK,2291,3608,13313,4.55
8,Ambattur,BALAMURUGAN.G,TVK,22575,DR A.P. POORNIMA,DMK,11369,K.N. SEKAR,PMK,5812,11206,42321,16.34
9,Madavaram,M.L.VIJAYPRABHU,TVK,38521,S.SUDHARSANAM,DMK,22593,MADHAVARAM V.MOORTHY,ADMK,14190,15928,78949,21.93
10,Tiruvottiyur,SENTHIL KUMAR. N,TVK,22035,SUNDARARAJ. L,CPIM,11472,KUPPAN. K,ADMK,6257,10563,42183,20.45
11,Dr.Radhakrishnan Naga,N. MARIE WILSON,TVK,9598,J. JOHN EBENEZER,DMK,8057,R.S.RAAJESH,ADMK,2406,1541,21017,11.64
12,Perambur,C. JOSEPH VIJAY,TVK,18684,R.D. SHEKAR,DMK,10544,M. THILAGABAMA,PMK,1808,8140,32546,16.03
13,Kolathur,V. S. BABU,TVK,24993,M. K. STALIN,DMK,20982,P. SANTHANA KRISHNAN,ADMK,5982,4011,54742,30.02
14,Villivakkam,AADHAV ARJUNA,TVK,12715,KARTHIK MOHAN,DMK,9295,VIJAYAKUMAR S.R,ADMK,3512,3420,26712,19.01
15,Thiru-Vi-Ka-Nagar(SC),M. R. PALLAVI,TVK,13254,K. S. RAVICHANDRAN,DMK,8457,PORKODI ARMSTRONG,ADMK,4788,4797,27560,19.29
16,Egmore (SC),RAJMOHAN,TVK,10760,TAMILAN PRASANNA,DMK,7706,ABISHEK. R,ADMK,4612,3054,24009,20.22
17,Royapuram,K.V. VIJAY DAMU,TVK,12479,DR. A. SUBAIR KHAN,DMK,8736,D. JAYAKUMAR,ADMK,3982,3743,26298,20.81
18,Harbour,SINORA P S ASHOK,TVK,4540,R MANOHAR,ADMK,4033,P K SEKARBABU,DMK,3839,507,12907,13.02
19,Chepauk-Thiruvalliken,SELVAM. D,TVK,10830,UDHAYANIDHI STALIN,DMK,10184,AADIRAJARAM,ADMK,2447,646,24265,17.34
20,Thousand Lights,PRABHAKAR.J.C.D,TVK,3570,EZHILAN NAGANATHAN,DMK,2317,VALARMATHI.B,ADMK,1035,1253,7177,5.51
21,Anna Nagar,V.K.RAMKUMAR,TVK,16910,N.CHITRARASU,DMK,12103,S.GOKULA INDIRA,ADMK,9078,4807,39937,24.69
22,Virugampakkam,SABARINATHAN.R,TVK,6583,PRABHAKARA RAJA.A.M.V,DMK,4280,VIRUGAI V.N.RAVI,ADMK,3140,2303,14711,8.58
23,Saidapet,ARUL PRAKASAM. M,TVK,13598,SUBRAMANIAN. MA,DMK,7108,SENTHAMIZHAN. G,OTH,2941,6490,25008,15.74
24,Thiyagarayanagar,ANAND N,TVK,10471,RAJA ANBAZHAGAN,DMK,6701,SATHIYANARAYANAN B,ADMK,5683,3770,23988,18.08
25,Mylapore,VENKATARAMANAN. P,TVK,17306,VELU. DHA,DMK,9799,DR. TAMILISAI SOUNDARARAJAN,BJP,9736,7507,38521,25.8
26,Velachery,KUMAR. R,TVK,3856,AASSAN MAULAANA J.M.H,INC,2458,ASHOK. M.K,ADMK,2005,1398,8802,4.8
27,Shozhinganallur,ECR P SARAVANAN,TVK,12196,S. ARAVIND RAMESH,DMK,8052,K.P.KANDAN,ADMK,6893,4144,29132,6.54
28,Alandur,M.HARISH,TVK,12707,T.M.ANBARASAN,DMK,7887,S.SARAVANAN,ADMK,5458,4820,27678,10.68
29,Sriperumbudur (SC),THENNARASU.K,TVK,19307,K. PALANI,ADMK,13991,K. SELVAPERUNTHAGAI,INC,12714,5316,48156,14.65
30,Pallavaram,J.KAMATCHI,TVK,17672,D.MURUGESAN,OTH,9766,V.VENKATESAN,ADMK,5227,7906,35221,12.5
31,Tambaram,D.SARATHKUMAR,TVK,23252,R.S.KIRUTHIKA DEVI,DMK,17509,C.RAJENDRAN,ADMK,12609,5743,55798,20.14
32,Chengalpattu,S. THIYAGARAJAN,TVK,12184,KARTHIKDHANDAPANI,DMK,8033,M.GAJENDRAN,ADMK,5266,4151,26980,8.38
33,Thiruporur,B.VIJAYARAJ,TVK,14733,R. PANNEERDOSS,VCK,7700,K. BALU,PMK,4511,7033,29071,11.15
34,Cheyyur (SC),MOHAN RAJA.M.G.K,TVK,14770,SINTHANAI SELVAN,VCK,13911,RAJASEKAR. E,ADMK,13717,859,44455,23.99
35,Madurantakam (SC),MARAGATHAM KUMARAVEL.K,ADMK,14156,EZHIL KATHARINE EZHILMALAI,TVK,13919,S.AMULU PONMALAR,DMK,12174,237,41938,21.37
36,Uthiramerur,MUNIRATHINAM.J,TVK,20546,SUNDAR.K,DMK,12631,MAGESHKUMAR.P,PMK,11591,7915,46868,20.9
37,Kancheepuram,V. SOMASUNDARAM,ADMK,7719,NITHYA SUGUMAR,DMK,6478,R.V. RANJITHKUMAR,TVK,6378,1241,21240,8.75
38,Arakkonam (SC),V. GANDHIRAJ,TVK,15124,S. RAVI,ADMK,12509,EZHIL CAROLINE,VCK,9928,2615,39323,21.73
39,Sholingur,K.SARAVANAN,PMK,10368,G.KAPIL,TVK,8954,A.M.MUNIRATHINAM,INC,7163,1414,27867,12.03
40,Katpadi,V. RAMU,ADMK,11688,DURAIMURUGAN,DMK,7723,DR M SUDHAKAR,TVK,7179,3965,27565,13.68
41,Ranipet,R. GANDHI,DMK,17048,THAHIRA,TVK,16393,V.M. KARTHIKEYAN,BJP,6630,655,42487,19.34
42,Arcot,G.VIJAY MOHAN,TVK,4116,S.M.SUKUMAR,ADMK,3775,J.L.ESWARAPPAN,DMK,2438,341,10746,4.81
43,Vellore,M.M.VINOTH KANNAN,TVK,15338,P.KARTHIKEYAN,DMK,14039,S R K APPU,ADMK,9258,1299,39565,20.96
44,Anaikattu,A.P.NANDAKUMAR,DMK,11036,R.VELMURUGAN,TVK,9453,D.VELAZHAGAN,ADMK,9192,1583,30675,14.33
45,Kilvaithinankuppam(SC,THENRAL KUMAR. E,TVK,11599,JEGAN MOORTHY. M,ADMK,8252,DR. RAJESWARI. R,DMK,7719,3347,28863,15.36
46,Gudiyattam (SC),K.SINDU,TVK,14298,PARITHA PURUSHOTHAMAN.G,ADMK,13564,K.B.PRADAP,OTH,12386,734,41935,18.42
47,Vaniyambadi,SYED FAROOQ BASHA SSB,IUML,23031,SYED BHURHANUDEEN,TVK,20306,SENDHIL KUMAR.G,ADMK,18961,2725,64841,30.73
48,Ambur,IMTHIYAZ PANDARATTUDU ABDU,TVK,11121,VENKATESAN. R,ADMK,9278,VILWANATHAN. A.C.,DMK,7668,1843,29399,15.13
49,Jolarpet,VEERAMANI K.C.,ADMK,12076,MUNISAMY C,TVK,9712,KAVITHADHANDAPANI,DMK,7254,2364,30453,14.45
50,Tiruppattur,DR.THIRUPATHI. N,TVK,9773,GNANASEKAR. A,OTH,4443,NALLATHAMBI. A,DMK,4440,5330,19898,9.9
