AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
1,MEKLIGANJ (SC),DADHIRAM RAY,BJP,119109,ADHIKARY PARESH CHANDRA,TMC,89525,KAMAL KUMAR ROY,OTH,2386,29584,218859,99.9
2,MATHABHANGA (SC),NISHITH PRAMANIK,BJP,143340,DR. SABLU BARMAN,TMC,86250,KHAGEN CHANDRA BARMAN,CPIM,4030,57090,241845,99.9
3,COOCHBEHAR UTTAR (SC),SUKUMAR RAY,BJP,155327,PARTHA PRATIM RAY,TMC,84943,PRANAY KARJEE,CPIM,5293,70384,254175,99.9
4,COOCHBEHAR DAKSHIN,RATHINDRA BOSE,BJP,108482,AVIJIT DE BHOWMIK,TMC,85198,NAZMUL ALOM SARKAR,OTH,3137,23284,205413,99.9
5,SITALKUCHI (SC),SABITRI BARMAN,BJP,144367,HARIHAR DAS,TMC,119089,NAMADIPTI ROY ADHIKARY,CPIM,3979,25278,279822,99.9
6,SITAI (SC),SANGITA ROY,TMC,128188,ASHUTOSH BARMA,BJP,125467,RABIN ROY,INC,3262,2721,265319,99.9
7,DINHATA,AJAY RAY,BJP,138255,UDAYAN GUHA,TMC,120808,BIKAS MANDAL,OTH,3042,17447,267925,99.9
8,NATABARI,GIRIJA SHANKAR RAY,BJP,126911,SAILENDRA NATH BARMA,TMC,92298,AKIK HASSAN,CPIM,6606,34613,232716,99.9
9,TUFANGANJ,MALATI RAVA ROY,BJP,122525,SHIBSANKAR PAUL,TMC,96068,DHANANJOY RAVA,CPIM,4863,26457,230829,99.9
10,KUMARGRAM (ST),MANOJ KUMAR ORAON,BJP,143044,RAJEEV TIRKEY,TMC,90167,KISHOR MINJ,RSP,4111,52877,246827,99.9
11,KALCHINI (ST),BISHAL LAMA,BJP,114759,BIRENDRA BARA (ORAON),TMC,76916,ANJAN CHIK BARAIK,INC,3186,37843,202607,99.9
12,ALIPURDUARS,PARITOSH DAS,BJP,143242,SUMAN KANJILAL,TMC,72822,SHYAMAL ROY,CPIM,7301,70420,232466,99.9
13,FALAKATA (SC),DIPAK BARMAN,BJP,134370,SUBHASH CHANDRA ROY,TMC,88371,KAMAL KISHOR ROY,CPIM,6133,45999,235953,99.9
14,MADARIHAT (ST),LAXUMAN LIMBU,BJP,102488,JAYPRAKASH TOPPO,TMC,61578,SUBHASH LOHAR,RSP,3129,40910,176753,99.9
15,DHUPGURI (SC),NARESH ROY,BJP,134798,NIRMAL CHANDRA ROY,TMC,96248,NIRANJAN ROY,CPIM,7625,38550,248496,99.9
16,MAYNAGURI (SC),DALIM CHANDRA ROY,BJP,147403,RAMMOHAN RAY,TMC,90900,SUDEB RAY,RSP,2793,56503,251447,99.9
17,JALPAIGURI (SC),ANANTA DEB ADHIKARY,BJP,142987,KRISHNA DAS,TMC,74182,DEBRAJ BARMAN,CPIM,11324,68805,237856,99.9
18,RAJGANJ (SC),DINESH SARKAR,BJP,114657,SWAPNA BARMAN,TMC,93180,KHARENDRA NATH ROY,CPIM,6371,21477,224379,99.9
19,DABGRAM-PHULBARI,SIKHA CHATTERJEE,BJP,166300,RANJAN SIL SHARMA,TMC,68585,DILIP SINGH,CPIM,7695,97715,251889,99.9
20,MAL (ST),SUKRA MUNDA,BJP,112095,BULU CHIK BARAIK,TMC,96603,MANU ORAON,CPIM,5831,15492,224453,99.9
21,NAGRAKATA (ST),PUNA BHENGRA,BJP,103478,SANJAY KUJUR,TMC,77620,DIL KUMAR ORAON,CPIM,9708,25858,203963,99.9
22,KALIMPONG,BHARAT KUMAR CHETRI,BJP,84290,RUDEN SADA LEPCHA,BGPM,62826,BHERNONE BRITTO LEPCHA,OTH,14231,21464,169477,99.9
23,DARJEELING,NOMAN RAI,BJP,62076,BIJOY KUMAR RAI,BGPM,56019,AJOY LUCAS EDWARDS,OTH,48635,6057,173807,99.9
24,KURSEONG,SONAM LAMA,BJP,74878,AMAR LAMA,BGPM,57871,BANDANA RAI,OTH,41088,17007,181833,99.9
25,MATIGARA-NAXALBARI(SC),ANANDAMAY BARMAN,BJP,166905,SHANKAR MALAKAR,TMC,62640,JHAREN ROY,CPIM,8585,104265,250985,99.9
26,SILIGURI,SHANKAR GHOSH,BJP,120760,GOUTAM DEB,TMC,47568,SARADINDU CHAKRABORTY (JOY),CPIM,9168,73192,183573,99.9
27,PHANSIDEWA (ST),DURGA MURMU,BJP,118241,REENA TOPNO EKKA,TMC,72978,NAVANEETA TIRKEY,INC,4948,45263,207732,99.9
28,CHOPRA,HAMIDUL RAHAMAN,TMC,120986,SANKAR ADHIKARI,BJP,51862,ZAKIR ABEDIN,INC,25565,69124,211163,99.9
29,ISLAMPUR,AGARWAL KANAIA LAL,TMC,108117,CHITRAJIT ROY,BJP,68054,MD. SAMI KHAN,CPIM,4237,40063,185961,99.9
30,GOALPOKHAR,MD GHULAM RABBANI,TMC,122105,SARAJIT BISWAS,BJP,38315,MD. GHULAM SARWAR,OTH,14495,83790,183176,99.9
31,CHAKULIA,AZAD MINHAJUL ARFIN,TMC,90277,MANOJ KUMAR JAIN,BJP,62266,ALI IMRAN RAMZ,INC,40346,28011,199125,99.9
32,KARANDIGHI,BIRAJ BISWAS,BJP,96260,GOUTAM PAUL,TMC,76391,MD. SAHABUDDIN,CPIM,39414,19869,219973,99.9
33,HEMTABAD (SC),HARIPADA BARMAN,BJP,115529,SATYAJIT BARMAN,TMC,103168,ANAMIKA ROY,INC,9587,12361,239372,99.9
34,KALIAGANJ (SC),UTPAL BRAHMACHARO,BJP,158349,NITAI BAISHYA,TMC,81924,HIRU ROY SARKAR,CPIM,5779,76425,258225,99.9
35,RAIGANJ,KOUSHIK CHOWDHURY,BJP,105561,KRISHNA KALYANI,TMC,46920,MOHIT SENGUPTA,INC,4386,58641,164804,99.9
36,ITAHAR,MOSARAF HUSSEN,TMC,98172,SABITA BARMAN,BJP,70294,AMAL ACHARJEE,INC,28045,27878,204159,99.9
37,KUSHMANDI (SC),TAPAS CHANDRA ROY,BJP,97437,REKHA ROY,TMC,88374,JYOTIRMOY ROY,RSP,6861,9063,199526,99.9
38,KUMARGANJ,TORAF HOSSAIN MANDAL,TMC,82791,SUBHENDU SARKAR,BJP,76106,MOFAZZAL HOSSAIN,CPIM,10149,6685,173869,99.9
39,BALURGHAT,BIDYUT KUMAR ROY,BJP,95697,ARPITA GHOSH,TMC,48121,ARNAB CHOWDHURY,RSP,8593,47576,158296,99.9
40,TAPAN(ST),BUDHRAI TUDU,BJP,105780,CHINTAMANI BIHA,TMC,68793,BAPPAI HORO,RSP,5940,36987,186702,99.9
41,GANGARAMPUR (SC),SATYENDRA NATH ROY,BJP,105083,Goutam Das,TMC,76744,BIPLAB BARMAN,CPIM,5991,28339,192823,99.9
