AC_No,Assembly Constituency,Total_Electors_Before_Deletion,Total Deletions,Total_Electors_After_Deletion,Turnout ,Total Votes,Total Votes
1,Valmiki Nagar,350170,28908,321262,70.36,226039.9432,226040
2,Ramnagar (SC),314571,27893,286678,70.87,203168.6986,203169
3,Narkatiaganj,285071,17726,267345,70.67,188932.7115,188933
4,Bagaha,333376,23239,310137,70.74,219390.9138,219391
5,Lauriya,266691,26227,240464,75.78,182223.6192,182224
6,Nautan,289041,17673,271368,72.37,196389.0216,196390
7,Chanpatia,292758,13583,279175,74.1,206868.675,206869
8,Bettiah,294073,16975,277098,67.12,185988.1776,185989
9,Sikta,295931,19050,276881,75.55,209183.5955,209184
10,Raxaul,294838,21488,273350,75.11,205313.185,205314
11,Sugauli,294184,19981,274203,69.93,191750.1579,191751
12,Narkatia,311865,22893,288972,73.97,213752.5884,213753
13,Harsidhi (SC),282701,17335,265366,73.72,195627.8152,195628
14,Govindganj,285205,28548,256657,68.88,176785.3416,176786
15,Kesaria,277924,25163,252761,67.52,170664.2272,170665
16,Kalyanpur,268432,22393,246039,72.4,178132.236,178133
17,"Pipra, Purvi Champaran",358772,35045,323727,72.53,234799.1931,234800
18,Madhuban,279257,22990,256267,68.98,176772.9766,176773
19,Motihari,335513,54400,281113,72.93,205015.7109,205016
20,Chiraia,305890,28617,277273,68.33,189460.6409,189461
21,Dhaka,333645,17630,316015,73.16,231196.574,231197
22,Sheohar,321924,28145,293779,68.76,202002.4404,202003
23,Riga,333948,29988,303960,68.3,207604.68,207605
24,Bathnaha (SC),331436,28487,302949,67.58,204732.9342,204733
25,Parihar,339859,29803,310056,64.55,200141.148,200142
26,Sursand,335281,30912,304369,65.72,200031.3068,200032
27,Bajpatti,345345,29923,315422,66.06,208367.7732,208368
28,Sitamarhi,319109,28580,290529,70.7,205404.003,205405
29,Runnisaidpur,299332,27975,271357,67.17,182270.4969,182271
30,Belsand,284693,38188,246505,69.86,172208.393,172209
31,Harlakhi,300585,35822,264763,66.24,175379.0112,175380
32,Benipatti,309281,31895,277386,60.26,167152.8036,167153
33,Khajauli,318391,35263,283128,69.61,197085.4008,197086
34,Babubarhi,328008,34281,293727,66.72,195974.6544,195975
35,Bisfi,343102,29174,313928,62.89,197429.3192,197430
36,Madhubani,361298,37743,323555,62.09,200895.2995,200896
37,Rajnagar (SC),344939,46623,298316,60.71,181107.6436,181108
38,Jhanjharpur,332722,25746,306976,60.21,184830.2496,184831
39,Phulparas,341348,38234,303114,63.78,193326.1092,193327
40,Laukaha,357337,37523,319814,68.2,218113.148,218114
41,Nirmali,319049,21915,297134,73.08,217145.5272,217146
42,"Pipra, Supaul",319027,21803,297224,72.79,216349.3496,216350
43,Supaul,314926,31142,283784,70.95,201344.748,201345
44,Triveniganj (SC),318549,22650,295899,72.58,214763.4942,214764
45,Chhatapur,350664,30602,320062,74.4369,238244.2309,238245
46,Narpatganj,354822,31163,323659,71.71,232095.8689,232096
47,Raniganj (SC),362978,34355,328623,67.14,220637.4822,220638
48,Forbesganj,366457,25831,340626,69.17,235611.0042,235612
49,Araria,343312,24328,318984,72.13,230083.1592,230084
50,Jokihat,312309,22434,289875,71.35,206825.8125,206826
51,Sikti,309267,19770,289497,72.62,210232.7214,210233
52,Bahadurganj,311403,36506,274897,74.3,204248.471,204249
53,Thakurganj,316519,29234,287285,81.32,233620.162,233621
54,Kishanganj,319049,49193,269856,79.97,215803.8432,215804
55,Kochadhaman,270047,30671,239376,76.84,183936.5184,183937
56,Amour,330440,46925,283515,73.97,209716.0455,209717
57,Baisi,293166,26545,266621,78.08,208177.6768,208178
58,Kasba,297180,35633,261547,81.86,214102.3742,214103
59,Banmankhi (SC),324419,36622,287797,70.77,203673.9369,203674
60,Rupauli,318313,35327,282986,75.34,213201.6524,213202
61,Dhamdaha,339496,42917,296579,76.82,227831.9878,227832
62,Purnia,333815,49842,283973,75.34,213945.2582,213946
63,Katihar,284116,23092,261024,75.6,197334.144,197335
64,Kadwa,300335,30274,270061,75.85,204841.2685,204842
65,Balrampur,364062,29319,334743,79.35,265618.5705,265619
66,Pranpur,326204,25907,300297,81.05,243390.7185,243391
67,Manihari (ST),311600,27509,284091,80.02,227329.6182,227330
68,Barari,293537,22447,271090,81.61,221236.549,221237
69,Korha (SC),310300,25616,284684,79.67,226807.7428,226808
70,Alamnagar,381989,32638,349351,71.14,248528.3014,248529
71,Bihariganj,341174,21416,319758,68.3,218394.714,218395
72,Singheshwar (SC),337181,20802,316379,69.45,219725.2155,219726
73,Madhepura,357358,23160,334198,69.34,231732.8932,231733
74,Sonbarsha (SC),324278,35045,289233,68.09,196938.7497,196939
75,Saharsa,381956,26318,355638,69.92,248662.0896,248663
76,Simri Bakhtiarpur,358839,34125,324714,69.17,224604.6738,224605
77,Mahishi,312602,36050,276552,70.26,194305.4352,194306
78,Kusheshwar Asthan (SC),269269,20156,249113,62.89,156667.1657,156668
79,Gaura Bauram,267275,19046,248229,64.04,158965.8516,158966
80,Benipur,307375,18199,289176,62.44,180561.4944,180562
81,Alinagar,288374,14579,273795,60.32,165153.144,165154
82,Darbhanga Rural,303849,26251,277598,62.86,174498.1028,174499
83,Darbhanga,321876,12428,309448,60.01,185699.7448,185700
84,Hayaghat,258340,13540,244800,66.39,162522.72,162523
85,Bahadurpur,316377,29388,286989,70.32,201810.6648,201811
86,Keoti,308346,22991,285355,64.26,183369.123,183370
87,Jale,329560,26639,302921,63.51,192385.1271,192386
88,Gaighat,333997,28154,305843,69.29,211918.6147,211919
89,Aurai,326543,30906,295637,66.58,196835.1146,196836
90,Minapur,285578,20084,265494,77.54,205864.0476,205865
91,Bochaha (SC),291292,23132,268160,76.35,204740.16,204741
92,Sakra (SC),276129,17447,258682,75.35,194916.887,194917
93,Kurhani,314852,23998,290854,75.63,219972.8802,219973
94,Muzaffarpur,332080,29984,302096,59.17,178750.2032,178751
95,Kanti,331978,28057,303921,72.7,220950.567,220951
96,Baruraj,287860,23860,264000,73.72,194620.8,194621
97,Paroo,324960,29055,295905,72.78,215359.659,215360
98,Sahebganj,309127,28038,281089,72.67,204267.3763,204268
99,Baikunthpur,341426,45605,295821,68.59,202903.6239,202904
100,Barauli,318850,47712,271138,68.05,184509.409,184510
101,Gopalganj,349874,66011,283863,66.56,188939.2128,188940
102,Kuchaikote,337302,59913,277389,67.06,186017.0634,186018
103,Bhorey (SC),366563,45065,321498,62.86,202093.6428,202094
104,Hathua,324203,45925,278278,67.15,186863.677,186864
105,Siwan,327377,23309,304068,59.7,181528.596,181529
106,Ziradei,287504,19058,268446,57.17,153470.5782,153471
107,Darauli (SC),328381,33382,294999,57,168149.43,168150
108,Raghunathpur,313575,30041,283534,61.45,174231.643,174232
109,Daraundha,335030,28929,306101,58.75,179834.3375,179835
110,Barharia,322740,27622,295118,63.53,187488.4654,187489
111,Goriakothi,348256,30850,317406,64.5,204726.87,204727
112,Maharajganj,320620,28323,292297,62.22,181867.1934,181868
113,Ekma,314006,28542,285464,58.7,167567.368,167568
114,Manjhi,314870,29129,285741,60.5,172873.305,172874
115,Baniapur,334317,28093,306224,63.19,193502.9456,193503
116,Taraiya,319222,32156,287066,64.84,186133.5944,186134
117,Marhaura,289077,28450,260627,66.11,172300.5097,172301
118,Chapra,341717,25866,315851,58.1,183509.431,183510
119,Garkha (SC),322634,21454,301180,65.42,197031.956,197032
120,Amnour,275116,37284,237832,67.6,160774.432,160775
121,Parsa,284883,24207,260676,66.93,174470.4468,174471
122,Sonepur,300193,17811,282382,68.79,194250.5778,194251
123,Hajipur,358232,38188,320044,66.74,213597.3656,213598
124,Lalganj,359431,33132,326299,69.62,227169.3638,227170
125,Vaishali,349721,26043,323678,70.14,227027.7492,227028
126,Mahua,299510,19279,280231,71.05,199104.1255,199105
127,Raja Pakar (SC),288753,19579,269174,65.1,175232.274,175233
128,Raghopur,358056,34989,323067,68.9,222593.163,222594
129,Mahnar,316448,28133,288315,66.71,192334.9365,192335
130,Patepur (SC),312381,26377,286004,69.36,198372.3744,198373
