AC_NO,AC_NAME,Total_Electors,Turnout_Pct
1,MEKLIGANJ (SC),224413,96.87
2,MATHABHANGA (SC),248757,96.44
3,COOCHBEHAR UTTAR (SC),263078,95.42
4,COOCHBEHAR DAKSHIN,213968,94.74
5,SITALKUCHI (SC),285548,97.53
6,SITAI (SC),273126,96.55
7,DINHATA,277291,95.7
8,NATABARI,239923,96.11
9,TUFANGANJ,237667,96.21
10,KUMARGRAM (ST),259496,94.23
11,KALCHINI (ST),221457,90.87
12,ALIPURDUARS,244331,94.02
13,FALAKATA (SC),245264,95.44
14,MADARIHAT (ST),193958,90.6
15,DHUPGURI (SC),258127,95.53
16,MAYNAGURI (SC),258545,96.4
17,JALPAIGURI (SC),250381,93.45
18,RAJGANJ (SC),230795,96.56
19,DABGRAM-PHULBARI,264380,94.62
20,MAL (ST),237452,94.17
21,NAGRAKATA (ST),220118,92.3
22,KALIMPONG,201619,83.04
23,DARJEELING,207716,82.27
24,KURSEONG,216152,83.14
25,MATIGARA-NAXALBARI(SC),268480,92.69
26,SILIGURI,200779,90.63
27,PHANSIDEWA (ST),217298,95.08
28,CHOPRA,219236,96.02
29,ISLAMPUR,202217,91.41
30,GOALPOKHAR,199468,91.67
31,CHAKULIA,216095,91.84
32,KARANDIGHI,231599,94.61
33,HEMTABAD (SC),246530,96.4
34,KALIAGANJ (SC),268281,95.42
35,RAIGANJ,174126,92.97
36,ITAHAR,211422,95.89
37,KUSHMANDI (SC),205867,96.52
38,KUMARGANJ,180385,95.88
39,BALURGHAT,166912,93.3
40,TAPAN(ST),194914,95.1
41,GANGARAMPUR (SC),200146,95.49
42,HARIRAMPUR,211295,96
43,HABIBPUR (ST),238230,94.89
44,GAZOLE (SC),255085,95.25
45,CHANCHAL,244428,95.54
46,HARISCHANDRAPUR,238850,94.74
47,MALATIPUR,212691,94.73
48,RATUA,246547,93.94
49,MANIKCHAK,235765,94.82
50,MALDAHA (SC),231348,94.62
51,ENGLISH BAZAR,249137,92.68
52,MOTHABARI,169347,95.06
53,SUJAPUR,236443,95.69
54,BAISNABNAGAR,233865,95.7
55,FARAKKA,181659,96.01
56,SAMSERGANJ,161435,96.04
57,SUTI,229208,96.07
58,JANGIPUR,220859,95.72
59,RAGHUNATHGANJ,200452,96.9
60,SAGARDIGHI,216977,95.35
61,LALGOLA,186182,96.44
62,BHAGABANGOLA,224618,96.95
63,RANINAGAR,244391,96.95
64,MURSHIDABAD,248269,95.3
65,NABAGRAM (SC),243025,90.73
66,KHARGRAM (SC),230464,88.32
67,BURWAN (SC),214003,87.8
68,KANDI,233024,84.94
69,BHARATPUR,239184,89.17
70,REJINAGAR,256267,92.91
71,BELDANGA,243984,93.05
72,BAHARAMPUR,240830,91.72
73,HARIHARPARA,245484,95.61
74,NAODA,235737,93.66
75,DOMKAL,267374,96.43
76,JALANGI,262787,96.03
77,KARIMPUR,252844,94.48
78,TEHATTA,252431,91.33
79,PALASHIPARA,231620,92.06
80,KALIGANJ,232460,93.42
81,NAKASHIPARA,218669,92
82,CHAPRA,232057,90.05
83,KRISHNANAGAR UTTAR,216456,91.92
84,NABADWIP,230011,93.47
85,KRISHNANAGAR DAKSHIN,209781,92.94
86,SANTIPUR,227477,92.87
87,RANAGHAT UTTAR PASCHIM,232716,92.31
88,KRISHNAGANJ (SC),253036,89.85
89,RANAGHAT UTTAR PURBA(SC),232399,89.59
90,RANAGHAT DAKSHIN (SC),253346,90.99
91,CHAKDAHA,223981,92.93
92,KALYANI (SC),230489,92.66
93,HARINGHATA (SC),225109,93.82
94,BAGDA (SC),240989,89.51
95,BANGAON UTTAR (SC),225962,92.61
96,BANGAON DAKSHIN (SC),228359,92.23
97,GAIGHATA (SC),222723,93.08
98,SWARUPNAGAR,228965,95
99,BADURIA,236162,95.66
100,HABRA,208822,94.4
101,ASHOKNAGAR,229506,95.01
102,AMDANGA,221207,96.03
103,BIJPUR,158096,90.88
104,NAIHATI,170581,91.5
105,BHATPARA,117195,90.15
106,JAGATDAL,195630,95.23
107,NOAPARA,213727,87.12
108,BARRACKPUR,170646,89.82
109,KHARDAHA,209855,93.02
110,DUM DUM UTTAR,240341,92.26
111,PANIHATI,189714,91.48
112,KAMARHATI,162646,90.01
113,BARANAGAR,186541,88.59
114,DUM DUM,217541,90.2
115,RAJARHAT NEW TOWN,267645,93.6
116,BIDHANNAGAR,203877,86.26
117,RAJARHAT GOPALPUR,218890,86.66
118,MADHYAMGRAM,244485,94.62
119,BARASAT,252439,92.79
120,DEGANGA,240007,96.85
121,HAROA,243400,97.34
122,MINAKHAN (SC),222011,96.77
123,SANDESHKHALI (ST),223269,95.89
124,BASIRHAT DAKSHIN,260361,95.44
125,BASIRHAT UTTAR,245388,96.62
126,HINGALGANJ (SC),215122,95.41
127,GOSABA (SC),221332,94.51
128,BASANTI (SC),240303,95.73
129,KULTALI (SC),261736,95.99
130,PATHARPRATIMA,257704,94.96
131,KAKDWIP,241720,95.19
132,SAGAR,274103,93.29
133,KULPI,216620,95.42
134,RAIDIGHI,267846,95.7
135,MANDIRBAZAR (SC),222090,95.47
136,JAYNAGAR (SC),227238,94.12
137,BARUIPUR PURBA(SC),245106,94.96
138,CANNING PASCHIM(SC),238236,96.43
139,CANNING PURBA,246673,97.7
140,BARUIPUR PASCHIM,233097,94.49
