AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
1,Bijoy Malakar,BJP,84711,61.92,Sambhu Sing Mallah,INC,48490,35.44,36221
2,Krishnendu Paul,BJP,74846,49.66,Sachin Sahoo,INC,70379,46.7,4467
3,Kamalakhya Dey Purkayastha,INC,60998,41.57,Dr. Manash Das,BJP,52674,35.89,8324
4,Siddique Ahmed,INC,88909,59.16,Aziz Ahmed Khan,AGP,56422,37.54,32487
5,Abdul Aziz,AIUDF,74452,56.62,Biswarup Bhattacharjee,BJP,50504,38.41,23948
6,Zakir Hussain Laskar,AIUDF,71057,55.15,Milan Das,BJP,47303,36.72,23754
7,Sujam Uddin Laskar,AIUDF,79769,51.83,Subrata Nath,BJP,66798,43.41,12971
8,Nizamuddin Choudhury,AIUDF,66785,49.46,Mun Swarnakar,BJP,49181,36.42,17604
9,Dipayan Chakraborty,BJP,98558,56.17,Tamal Kanti Banik,INC,60980,34.75,37578
10,Karim Uddin Barbhuiya,AIUDF,71937,48.83,Aminul Haque Laskar,BJP,52283,35.49,19654
11,Parimal Suklabaidya,BJP,82568,55.03,Kamakhya Prasad Mala,INC,62176,41.44,20392
12,Mihir Kanti Shome,BJP,61745,47.34,Ajit Singh,INC,59060,45.28,2685
13,Kaushik Rai,BJP,55341,44.61,Mukesh Pandey,INC,42641,34.38,12700
14,Misbahul Islam Laskar,INC,64433,51.77,Amalendu Das,BJP,57402,46.12,7031
15,Khalil Uddin Mazumder,INC,83268,51.22,Gautam Roy,BJP,76329,46.95,6939
16,Nandita Garlosa,BJP,67797,56.73,Nirmal Langthasa,INC,49199,41.16,18598
17,Numal Momin,BJP,60726,51.05,Raton Engti,INC,42841,36.02,17885
18,Dorsing Ronghang,BJP,57927,55.74,Sanjeeb Teron,INC,26244,25.25,31683
19,Bidya Sing Engleng,BJP,77032,50.58,Sum Ronghang,INC,36504,23.97,40528
20,Rupsing Teron,BJP,89715,55.0,Augustine Enghee,INC,36278,22.24,53437
21,Adv. Aminul Islam,AIUDF,125873,60.72,Javed Islam,AGP,69033,33.3,56840
