AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
1,A. K. M. Ashraf,IUML,65758,38.14,K. Surendran,BJP,65013,37.7,745
2,N. A. Nellikkunnu,IUML,63296,43.8,K. Shreekanth,BJP,50395,34.88,12901
3,C. H. Kunhambu,CPI(M),78664,47.58,Balakrishnan Periye,INC,65342,39.52,13322
4,E. Chandrasekharan,CPI,84615,50.72,P. V. Suresh,INC,57476,34.45,27139
5,M. Rajagopalan,CPI(M),86151,53.71,M. P. Joseph,KEC,60014,37.41,26137
6,TI. Madhusoodanan,CPI(M),93695,62.49,M. Pradeep Kumar,INC,43915,29.29,49780
7,M. Vijin,CPI(M),88252,60.62,Brijesh Kumar,INC,43859,30.13,44393
8,M. V. Govindan,CPI(M),92870,52.14,Abdul Rasheed V. P.,INC,70181,39.4,22689
9,Sajeev Joseph,INC,76764,50.33,Saji Kuttiyanimattom,KC(M),66754,43.77,10010
10,K. V. Sumesh,CPI(M),65794,45.41,K. M. Shaji,IUML,59653,41.17,6141
11,Kadannappalli Ramachandran,Cong(S),60313,44.98,Satheeshan Pacheni,INC,58568,43.68,1745
12,Pinarayi Vijayan,CPI(M),95522,59.61,C. Raghunath,INC,45399,28.33,50123
13,A. N. Shamseer,CPI(M),81810,61.52,M. P. Aravindakshan,INC,45009,33.84,36801
14,K. P. Mohanan,LJD,70626,45.36,P. K. Abdulla,IUML,61085,39.23,9541
15,K. K. Shailaja,CPI(M),96129,61.97,Illikkal Agasthy,RSP,35166,22.67,60963
16,Sunny Joseph,INC,66706,46.93,Sakeer Hussain,CPI(M),63534,44.7,3172
17,O. R. Kelu,CPI(M),72536,47.54,P. K. Jayalakshmi,INC,63254,41.46,9282
18,I. C. Balakrishnan,INC,81077,48.42,M. S. Viswanathan,CPI(M),69255,41.36,11822
19,T. Siddique,INC,70252,46.15,M. V. Shreyams Kumar,LJD,64782,42.56,5470
20,K. K. Rema,RMPI,65093,47.63,Manayath Chandran,LJD,57602,42.15,7491
21,K. P. Kunhammadkutty,CPI(M),80143,47.2,Parakkal Abdulla,IUML,79810,47.01,333
22,E. K. Vijayan,CPI,83293,47.46,K.Praveen Kumar,INC,79258,45.16,4035
23,Kanathil Jameela,CPI(M),75628,46.66,N. Subramanian,INC,67156,41.43,8472
24,T. P. Ramakrishnan,CPI(M),86023,52.54,C. H. Ibrahimkutty,IND,63431,38.74,22592
25,K. M. Sachin Dev,CPI(M),91839,50.47,Dharmajan Bolgatty,INC,71467,39.28,20372
26,A. K. Saseendran,NCP,83639,50.89,Sulfikar Mayoori,KDP,45137,27.46,38502
27,Thottathil Raveendran,CPI(M),59124,42.98,K. M. Abhijith,INC,46196,33.58,12928
28,Ahamed Devarkovil,INL,52557,44.15,P. K. Noorbeena Rasheed,IUML,40098,33.68,12459
