AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
1,A. Namassivayam,BJP,14939,51.82,A. Krishnan,DMK,12189,42.28,2750
2,P. Angalane,IND,10597,36.78,B. Kobiga,AINRC,8238,28.6,2359
3,A. K. Saravanankumar,BJP,14121,48.78,P. Karthikeyan,INC,12241,42.29,1880
4,C. Djeacoumar,AINRC,16972,50.89,Sun. Kumaravel,DMK,14221,42.64,2751
5,R. Siva,DMK,19653,55.73,S.V. Sugumaran,AINRC,12703,36.02,6950
6,M. Sivasankar,IND,11940,36.5,N.G. Pannir Selvam,AINRC,11121,34.0,819
7,S. Ramesh,AINRC,17775,65.82,P. Selvanadane,INC,5529,20.47,12246
8,A. K. D. Arumugam,AINRC,21841,74.77,M. Kannan,INC,3310,11.33,18531
9,N. Rangasamy,AINRC,12978,55.02,K. Sethu Selvam,CPI,7522,31.89,5456
10,A. Johnkumar,BJP,16687,56.11,M. O. H. F. Shahjahan,INC,9458,31.8,7229
11,M. Vaithianathan,INC,14592,55.6,V. Saminathan,BJP,8891,33.88,5701
12,P. M. L. Kalyanasundaram,BJP,13277,44.63,A. Senthil Ramesh,IND,9769,32.84,3508
13,J. Prakash Kumar,IND,8778,37.48,Vaiyapuri Manikandan,AIADMK,7844,33.49,934
14,K. Lakshminarayanan,AINRC,10096,51.86,S.P. Sivakumar,DMK,6364,32.69,3732
15,Annibal Kennedy,DMK,13433,56.64,A. Anbalagan,AIADMK,8653,36.48,4780
16,G. Nehru Kuppusamy,IND,9580,47.29,S. Gopal,DMK,7487,36.96,2093
17,V. R. Johnkumar,BJP,11757,42.26,V. Karthikeyan,DMK,11261,40.47,496
18,L. Sambath,DMK,15151,51.3,A. Baskar,AIADMK,10972,37.15,4179
19,R. Baskar Datchanamourtty,AINRC,17858,54.32,T. Jayamoorthy,INC,11440,34.8,6418
20,Embalam R. Selvam,BJP,17225,57.54,R. K. R. Anantharaman,INC,9093,30.37,8132
21,U. Lakshmikandhan,AINRC,15624,50.85,M. Candassamy,INC,13384,43.56,2240
22,P. Rajavelu,AINRC,15978,56.82,V. Vijayaveny,INC,9340,33.21,6638
23,R. Senthilkumar,DMK,11789,44.56,N. Dhanavelou,AINRC,11578,43.76,201
24,S. Chandra Priyanga,AINRC,10774,40.2,A. Marimuthu,INC,8560,31.94,2214
25,P. R. Siva,IND,9551,36.45,S. Rajasekaran,BJP,8416,31.32,1380
26,P. R. N. Thirumurugan,AINRC,12704,44.85,A. V. Subramanian,INC,12569,44.38,135
27,A. M. H. Nazeem,DMK,17401,71.15,K. A. U. Asana,AIADMK,5367,21.95,12034
28,M. Nagathiyagarajan,DMK,14496,55.74,V. M. C. S. Manokaran,BJP,8985,34.55,5511
29,Ramesh Parambath,INC,9744,41.63,N. Haridasan Master,IND,9444,40.35,300
30,Gollapalli Srinivas Ashok,IND,17131,49.04,N. Rangasamy,AINRC,16475,47.17,655
