AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
1,T. J. Govindrajan,TVK,126452,56.94,Prakash M,PMK,75514,34.0,50938
2,Durai Chandrasekar,TVK,94528,44.94,P. Balaraman,ADMK,84839,40.33,9689
3,S. Chandran,DMK,120314,51.72,G. Hari,ADMK,91061,39.15,29253
4,V. G. Raajendran,DMK,107709,50.27,B. V. Ramanaa,ADMK,85008,39.68,22701
5,A. Krishnaswamy,DMK,149578,56.72,S. X. Rajamannar,PMK,55468,21.03,94110
6,S. M. Nasar,DMK,150287,49.94,K. Pandiarajan,ADMK,95012,31.57,55275
7,K. Ganapathy,DMK,121298,44.29,P. Benjamin,ADMK,89577,32.71,31721
8,Joseph Samuel,DMK,114554,47.67,V. Alexander,ADMK,72408,30.13,42146
9,S. Sudharsanam,DMK,151485,50.04,V. Moorthy,ADMK,94414,31.19,57071
10,K. P. Shankar,DMK,88185,44.34,K. Kuppan,ADMK,50524,25.4,37661
11,J. John Ebenezer,DMK,95763,51.2,R. S. Raajesh,ADMK,53284,28.49,42479
12,R. D. Sekar,DMK,105267,52.53,N. R. Dhanapalan,ADMK,50291,25.1,54976
13,M. K. Stalin,DMK,105522,60.86,Aadhi Rajaram,ADMK,35138,20.27,70384
14,A. Vetriazhagan,DMK,76127,52.83,J. C. D. Prabhakar,ADMK,38890,26.99,37237
15,P. Sivakumar,DMK,81727,61.13,P. L. Kalyani,ADMK,26714,19.98,55013
16,I. Paranthamen,DMK,68832,57.71,B. John Pandian,ADMK,30064,25.21,38768
17,Idream R. Murthy,DMK,64424,53.16,D. Jayakumar,ADMK,36645,30.24,27779
18,P. K. Sekar Babu,DMK,59317,58.35,Vinoj P. Selvam,BJP,32043,31.52,27274
19,Udhayanidhi Stalin,DMK,93285,67.89,A. V. A. Kassali,PMK,23930,17.42,69355
20,Ezhilan Naganathan,DMK,49080,53.88,Khushbu,BJP,25079,27.53,24001
21,M. K. Mohan,DMK,80054,48.49,S. Gokula Indira,ADMK,52609,31.87,27445
22,A. M. V. Prabhakara Raja,DMK,74351,43.97,Virugai V. N. Ravi,ADMK,55984,33.11,18367
23,Ma.Subramanian,DMK,80194,50.02,S. Duraisamy,ADMK,50786,31.68,29408
24,J. Karunanithi,DMK,56035,40.57,B. Sathyanarayanan,ADMK,55898,40.47,137
25,Dha. Velu,DMK,68392,44.58,R. Nataraj,ADMK,55759,36.34,12633
26,Aassan Maulaana,INC,68493,38.76,M. K. Ashok,ADMK,64141,36.3,4352
27,S. Aravind Ramesh,DMK,171558,44.18,K. P. Kandan,ADMK,136153,35.06,35405
28,T. M. Anbarasan,DMK,116785,49.12,B. Valarmathi,ADMK,76214,32.06,40571
29,K. Selvaperunthagai,INC,115353,43.65,K. Palani,ADMK,104474,39.53,10879
30,I. Karunanithi,DMK,126427,47.49,S. Rajendran,ADMK,88646,33.3,37781
31,S. R. Raja,DMK,116840,46.93,T. K. M. Chinnayya,ADMK,80016,32.14,36824
32,M. Varalakshmi,DMK,130573,47.64,M. Gajendran,ADMK,103908,37.91,26665
33,S. S. Balaji,VCK,93954,41.44,Thirukachur Arumugam,PMK,92007,40.58,1947
34,M. Babu,VCK,82750,46.2,S. Kanitha Sampath,ADMK,78708,43.94,4042
35,Maragatham Kumaravel,ADMK,86646,46.62,Mallai C. E. Sathya,DMK,83076,44.7,3570
36,K. Sundar,DMK,93427,44.38,V.Somasundaram,ADMK,91805,43.61,1622
37,C. V. M. P. Ezhilarasan,DMK,103235,44.77,P. Mageshkumar,PMK,91236,39.71,11999
38,S. Ravi,ADMK,85399,49.82,J. Gowthama Sannah,VCK,58230,33.97,27169
39,A. N. Munirathinam,INC,110228,49.18,A. M. Krishnan,PMK,83530,37.27,24878
41,R. Gandhi,DMK,103291,49.79,S. M. Sukumar,ADMK,86793,41.84,16498
42,J. L. Eswarappan,DMK,103885,49.52,K. L. Elavazhagan,PMK,83927,40.01,19958
40,Durai Murugan,DMK,85140,45.71,V. Ramu,ADMK,84394,45.31,746
43,P. Karthikeyan,DMK,84299,46.86,S. R. K. Appu,ADMK,75118,41.76,9181
44,A. P. Nandakumar,DMK,95159,48.11,D. Velazhagan,ADMK,88799,44.89,6360
45,M. Jaganmoorthy,ADMK,84579,48.57,K. Seetharaman,DMK,73997,42.5,10582
46,V. Amulu,DMK,100412,47.45,G. Paridha,ADMK,93511,44.19,6901
47,G Sendhil Kumar,ADMK,88018,46.33,N. Mohammad Nayeem,IUML,83114,43.74,4904
48,A. C. Vilwanathan,DMK,90476,50.86,K. Nazar Mohammed,ADMK,70244,39.49,20232
49,K. Devaraji,DMK,89490,45.57,K. C. Veeramani,ADMK,88399,45.02,1091
50,A. Nallathambi,DMK,96522,51.91,T. K. Raja,PMK,68282,36.72,28240
51,T. M. Tamilselvam,ADMK,99675,52.96,J. S. Arumugam,INC,71288,37.87,28387
52,D. Mathiazhagan,DMK,97256,49.17,A. Krishnan,ADMK,84642,42.8,12614
53,K. Ashok Kumar,ADMK,96050,45.38,T. Senguttuvan,DMK,95256,45.01,794
54,K. P. Munusamy,ADMK,94104,45.87,P. Murugan,DMK,91050,44.38,3054
55,Y. Prakaash,DMK,118231,47.65,S. Jyothi Balakrishna Reddy,ADMK,105864,42.67,12367
56,T. Ramachandran,CPI,120641,62.18,Dr. C. Nagesh Kumar,BJP,64415,33.2,56226
57,K. P. Anbalagan,ADMK,110070,53.28,P. K. Murugan,DMK,81970,39.68,28100
58,G. K. Mani,PMK,106123,50.46,P. N. P. Inbasekaran,DMK,84937,40.39,21186
59,S. P. Venkateshwaran,PMK,105630,48.6,Thadangam P. Subramani,DMK,78770,36.24,26860
60,A. Govindasamy,ADMK,114507,51.81,M. Prabhu Rajasekar,DMK,77564,35.1,36943
61,V. Sampathkumar,ADMK,99061,49.89,A. Kumar,CPI(M),68699,34.6,30362
62,M. P. Giri,DMK,108081,48.26,M. S. Nainakannu,ADMK,96511,43.09,11570
63,E. V. Velu,DMK,137876,66.02,S. Thanigaivel,BJP,43203,20.69,94673
64,K. Pitchandi,DMK,104675,51.34,K. Selvakumar,PMK,77888,38.2,26787
65,P. S. T. Saravanan,DMK,94134,47.92,V. Panneerselvam,ADMK,84912,43.23,9222
66,S. S. Krishnamoorthy,ADMK,97732,48.38,K. V. Sekaran,DMK,88007,43.57,9725
67,Sevvoor S. Ramachandran,ADMK,102961,46.5,S. S. Anbazhagan,DMK,99833,45.09,3128
68,O. Jothi,DMK,102460,47.78,K. Mohan,ADMK,90189,42.05,12771
69,S. Ambethkumar,DMK,102064,54.88,S. Murali Shankar,PMK,66111,35.55,35953
70,K. S. Masthan,DMK,109625,52.99,M. P. S. Rajendran,PMK,73822,35.68,35803
71,C. Sivakumar,PMK,81044,45.79,Dr. R. Masilamani,DMK,78814,44.53,2230
72,P. Arjunan,ADMK,87152,47.74,P. Seethapathy,DMK,77399,42.4,9753
73,M. Chakrapani,ADMK,92219,50.61,Vanni Arasu,VCK,70492,38.69,21727
74,R. Lakshmanan,DMK,102271,49.92,C. V. Shanmugam,ADMK,87403,42.66,14868
75,N. Pugazhenthi,DMK,93730,48.81,R. Muthamilselvan,ADMK,84157,43.47,9573
76,K. Ponmudy,DMK,110980,56.56,V. A. T. Kalivaradhan,BJP,51300,26.14,59680
77,A. J. Manikannan,DMK,115451,47.15,R. Kumaraguru,ADMK,110195,45.0,5256
78,K. Karthikeyan,DMK,113912,52.96,A. Santhosh,ADMK,72184,33.56,41728
79,T. Udhayasuriyan,DMK,121186,56.16,Dr. G. Raja,PMK,75223,34.86,45963
80,M. Senthilkumar,ADMK,110643,48.99,K. I. Manirathinam,INC,84752,37.52,25891
81,A. Nallathambi,ADMK,89568,48.02,J. Rekha Priyadarshini,DMK,82207,44.08,7361
82,A. P. Jayasankaran,ADMK,95308,47.72,K. Chinnadurai,DMK,87051,43.58,8257
83,G. Chitra,ADMK,121561,50.88,C. Tamilselvan,DMK,95606,40.02,25955
84,R. Mani,ADMK,142488,57.22,Rangarajan Mohan Kumaramangalam,INC,87194,35.01,55294
85,S. Sadhasivam,PMK,97055,44.43,S. Srinivasa Perumal,DMK,96399,44.13,656
86,Edappadi K. Palaniswami,ADMK,163154,65.97,Sampath Kumar,DMK,69352,28.04,93802
87,S. Sundararajan,ADMK,115472,49.72,K. M. Rajesh,DMK,95427,41.09,20045
88,Arul Ramadas,PMK,105483,48.69,A. Rajendran,DMK,83984,38.77,21499
89,R. Rajendran,DMK,93432,46.17,G. Venkatachalam,ADMK,85844,42.42,7588
90,E. Balasubramanian,ADMK,97506,48.76,A. S. Saravanan,DMK,74897,37.45,22609
91,M. Rajamuthu,ADMK,111682,49.92,Dr. A. K. Tharun,DMK,91787,41.03,19895
92,M. Mathiventhan,DMK,90727,46.08,V. Saroja,ADMK,88775,45.09,1952
93,K. Ponnusamy,DMK,90681,45.51,S. Chandran,ADMK,80188,40.25,10493
94,P. Ramalingam,DMK,106494,51.51,K. P. P. Baskar,ADMK,78633,38.03,27861
95,S. Sekar,ADMK,86034,46.83,K. S. Moorthy,DMK,78372,42.66,7662
96,E. R. Eswaran,KMDK,81688,44.23,Pon. Saraswathi,ADMK,78826,42.69,2862
97,P. Thangamani,ADMK,100800,49.92,M. Venkatachalam,DMK,69154,34.25,31646
98,Thirumagan Evera,INC,67300,44.27,M. Yuvaraja,ADMK,58396,38.41,8904
99,S. Muthusamy,DMK,100757,49.01,K. V. Ramalingam,ADMK,78668,38.27,22089
100,Dr. C.K. Saraswathi,BJP,78125,42.96,Subbulakshmi Jagadeesan,DMK,77844,42.81,281
101,N. Kayalvizhi,DMK,89986,46.39,L. Murugan,BJP,88593,45.67,1393
102,M. P. Saminathan,DMK,94197,47.14,A. S. Ramalingam,ADMK,86866,43.47,7331
103,S. Jayakumar,ADMK,85125,44.84,K. K. C. Balu,DMK,70618,37.2,14507
104,K. C. Karuppannan,ADMK,100915,50.11,K. P. Durairaj,DMK,78392,38.93,22523
105,A. G. Venkatachalam,DMK,79096,44.84,K. S. Shanmugavel,ADMK,77821,44.12,1275
106,K. A. Sengottaiyan,ADMK,108608,50.68,G. V. Manimaaran,DMK,80045,37.36,28563
107,A. Bannari,ADMK,99181,49.45,P. L. Sundaram,CPI,83173,41.47,16008
108,R. Ganesh,INC,65530,46.44,M. Bhojarajan,BJP,60182,42.65,5348
109,Pon. Jayaseelan,ADMK,64496,46.65,S. Kasilingam,DMK,62551,45.24,1945
110,K. Ramachandran,DMK,61820,45.49,Kappachi D. Vinoth,ADMK,57715,42.47,4105
111,A. K. Selvaraj,ADMK,105231,46.75,T. R. Shanmuga Sundaram,DMK,102775,45.66,2456
112,P. Dhanapal,ADMK,117284,55.16,R. Athiyamaan,DMK,66382,31.22,50982
113,K. N. Vijayakumar,ADMK,113384,47.62,Subramanian M.,CPI,73282,30.78,40102
114,K. Selvaraj,DMK,75535,43.31,Gunasekaran S,ADMK,70826,40.61,4709
115,M. S. M. Anandan,ADMK,126903,48.53,K. Muthurathinam,DMK,94212,36.03,32691
