AC_NO,prev_win_cand,prev_win_party,prev_win_votes,prev_win_pct,prev_sec_cand,prev_sec_party,prev_sec_votes,prev_sec_pct,prev_margin
1,Paresh Chandra Adhikary,TMC,99338,49.98,Dadhiram Ray,BJP,84653,42.59,14685
2,Sushil Barman,BJP,113249,52.87,Girindra Nath Barman,TMC,87115,40.67,26134
3,Sukumar Roy,BJP,120483,49.4,Binay Krishna Barman,TMC,105868,43.4,14615
4,Nikhil Ranjan Dey,BJP,96629,46.83,Avijit De Bhowmik,TMC,91830,44.31,4799
5,Baren Chandra Barman,BJP,124955,50.8,Partha Pratim Ray,TMC,107140,43.56,17815
6,Jagadish Barma Basunia,TMC,117908,49.42,Dipak Kumar Roy,BJP,107796,45.18,10112
7,Nisith Pramanik,BJP,116035,47.6,Udayan Guha,TMC,115978,47.58,57
8,Mihir Goswami,BJP,111743,51.45,Rabindra Nath Ghosh,TMC,88303,40.66,23440
9,Malati Rava Roy,BJP,114503,54.69,Pranab Kumar Dey,TMC,83305,39.79,31198
10,Manoj Kumar Oraon,BJP,111974,48.16,Leos Kujar,TMC,100973,43.43,11001
11,Bishal Lama,BJP,103104,52.65,Pasang Lama,TMC,74528,38.06,28576
12,Suman Kanjilal,BJP,107333,48.19,Sourav Chakraborty,TMC,91326,41.0,16007
13,Dipak Barman,BJP,102993,46.71,Subhash Chanda Roy,TMC,99003,44.9,3990
14,Manoj Tigga,BJP,90718,54.35,Rajesh Lakra,TMC,61033,36.56,29685
15,Bishnu Pada Ray,BJP,104688,45.64,Mitali Roy,TMC,100333,43.75,4355
16,Kaushik Roy,BJP,115306,48.84,Manoj Roy,TMC,103395,43.79,11911
17,Pradip Kumar Barma,TMC,95668,42.34,Sujit Singha,BJP,94727,41.93,941
18,Khageswar Roy,TMC,104641,48.5,Supen Roy,BJP,88868,41.19,15773
19,Shikha Chatterjee,BJP,129088,49.85,Goutam Deb,TMC,101495,39.19,27593
20,Bulu Chik Baraik,TMC,99086,46.46,Mahesh Bagey,BJP,93621,43.9,5465
21,Puna Bhengra,BJP,70945,47.78,Joseph Munda,TMC,56543,38.08,14402
22,Ruden Sada Lepcha,GJM(T),58206,37.59,Suva Pradhan,BJP,54336,35.09,3870
23,Neeraj Zimba,BJP,68907,40.88,Keshav Raj Sharma,GJM(T),47631,28.26,21726
24,Bishnu Prasad Sharma,BJP,73475,41.86,Tshering Lama Dahal,GJM(T),57960,33.02,15515
25,Anandamoy Barman,BJP,139785,58.1,Rajen Sundas,TMC,68454,28.65,70848
26,Shankar Ghosh,BJP,89370,50.03,Om Prakash Mishra,TMC,53784,30.11,35586
27,Durga Murmu,BJP,105651,50.89,Choton Kisku,TMC,77940,37.55,27711
28,Hamidul Rahman,TMC,124923,61.2,Mohammad Shahin Akhtar,BJP,59604,29.4,65319
29,Abdul Karim Chowdhury,TMC,100131,58.91,Saumya Roop Mandal,BJP,62691,36.88,37440
30,Mohammad Ghulam Rabbani,TMC,105649,65.4,Ghulam Sarwar,BJP,32135,19.89,73514
31,Minhajul Arfin Azad,TMC,86311,49.78,Sachin Prasad,BJP,52474,30.26,33837
32,Goutam Paul,TMC,116594,54.7,Subhash Singha,BJP,79968,37.52,36626
33,Satyajit Barman,TMC,116425,52.14,Chandima Roy,BJP,89210,39.95,27215
34,Soumen Roy,BJP,116768,48.71,Tapan Dev Singha,TMC,94948,39.61,21820
